Mon Jan 22 16:27:20 CET 2018 :  Beginning of Experiment f05_5AGCMs_NA_SPG
Sat Feb 03 11:00:11 CET 2018 :  60 18630601 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 11:09:33 CET 2018 :  60 18630701 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 11:09:33 CET 2018 :  61 18630701 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 11:19:09 CET 2018 :  61 18630801 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 11:19:09 CET 2018 :  62 18630801 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 11:28:47 CET 2018 :  62 18630901 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 11:28:48 CET 2018 :  63 18630901 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 11:38:08 CET 2018 :  63 18631001 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 11:38:09 CET 2018 :  64 18631001 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 11:47:54 CET 2018 :  64 18631101 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 11:47:55 CET 2018 :  65 18631101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 11:57:10 CET 2018 :  65 18631201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 11:57:11 CET 2018 :  66 18631201 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 12:06:43 CET 2018 :  66 18640101 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 12:06:44 CET 2018 :  67 18640101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 12:16:20 CET 2018 :  67 18640201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 12:16:21 CET 2018 :  68 18640201 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 12:25:31 CET 2018 :  68 18640301 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 12:25:31 CET 2018 :  69 18640301 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 12:35:08 CET 2018 :  69 18640401 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 12:35:08 CET 2018 :  70 18640401 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 12:44:27 CET 2018 :  70 18640501 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 12:44:28 CET 2018 :  71 18640501 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 12:54:08 CET 2018 :  71 18640601 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 12:54:08 CET 2018 :  72 18640601 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 13:03:30 CET 2018 :  72 18640701 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 13:03:31 CET 2018 :  73 18640701 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 13:13:16 CET 2018 :  73 18640801 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 13:13:16 CET 2018 :  74 18640801 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 13:22:53 CET 2018 :  74 18640901 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 13:22:53 CET 2018 :  75 18640901 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 13:32:11 CET 2018 :  75 18641001 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 13:32:11 CET 2018 :  76 18641001 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 13:41:50 CET 2018 :  76 18641101 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 13:41:50 CET 2018 :  77 18641101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 13:51:11 CET 2018 :  77 18641201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 13:51:11 CET 2018 :  78 18641201 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 14:00:50 CET 2018 :  78 18650101 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 14:00:51 CET 2018 :  79 18650101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 14:10:22 CET 2018 :  79 18650201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 14:10:22 CET 2018 :  80 18650201 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 14:19:16 CET 2018 :  80 18650301 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 14:19:16 CET 2018 :  81 18650301 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 14:28:55 CET 2018 :  81 18650401 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 14:28:56 CET 2018 :  82 18650401 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 14:38:19 CET 2018 :  82 18650501 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 14:38:19 CET 2018 :  83 18650501 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 14:47:56 CET 2018 :  83 18650601 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 14:47:57 CET 2018 :  84 18650601 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 14:57:15 CET 2018 :  84 18650701 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 14:57:16 CET 2018 :  85 18650701 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 15:07:04 CET 2018 :  85 18650801 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 15:07:04 CET 2018 :  86 18650801 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 15:16:43 CET 2018 :  86 18650901 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 15:16:43 CET 2018 :  87 18650901 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 15:26:03 CET 2018 :  87 18651001 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 15:26:03 CET 2018 :  88 18651001 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 15:35:42 CET 2018 :  88 18651101 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 15:35:43 CET 2018 :  89 18651101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 15:45:15 CET 2018 :  89 18651201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 15:45:15 CET 2018 :  90 18651201 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 15:54:51 CET 2018 :  90 18660101 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 15:54:51 CET 2018 :  91 18660101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 16:04:23 CET 2018 :  91 18660201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 16:04:24 CET 2018 :  92 18660201 f05_5AGCMs_NASPG_sample  - start
