Wed Nov 08 09:49:05 CET 2017 :  Beginning of Experiment f01_echam6_amip_T63
Mon Feb 05 02:52:35 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 03:11:20 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 03:29:53 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 03:48:29 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 04:07:10 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 04:25:40 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 04:44:09 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 05:02:50 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 05:20:56 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 05:38:53 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 05:57:26 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 06:16:08 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 06:34:48 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 06:53:26 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 07:11:55 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 07:30:20 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 07:48:57 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 08:07:26 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 08:26:02 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 08:44:20 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 09:02:50 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 09:21:16 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 09:39:42 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 09:58:05 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 10:16:45 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 10:35:07 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 10:53:46 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 11:12:26 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 11:31:08 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 11:49:41 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 12:08:19 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 12:26:40 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 12:45:05 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 13:03:27 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 13:21:54 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 13:40:24 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 13:58:47 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 14:17:06 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 14:35:28 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 14:54:06 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 15:12:34 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 15:31:00 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 15:49:19 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 16:07:37 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 16:26:01 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 16:44:08 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 17:02:44 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 17:21:02 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 17:39:23 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 17:58:00 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
